1,"[(317.51563506470694, 138.76848978157756), (304.7733381969191, 148.39546564157243), (289.7588489290381, 119.95747400715868), (264.34679965356355, 101.0931187662392), (223.91096028880867, 114.82882310469314), (278.80734509069566, 158.00561782050923), (307.5084685860316, 175.17929478291603)]"
2,"[(319.49732100800753, 100.08578662270372), (259.93996301038555, 172.5433489827856), (308.0493115877799, 90.29923772380783), (304.9487960380258, 92.41546649968691), (303.10255836085764, 93.52382018697868), (315.22084999355087, 146.96211144073263), (297.1943169082824, 88.4978489570153), (250.6062987575845, 86.5110372724646), (273.2516607270136, 88.03426942266572), (197.16770725424868, 111.49323851387294), (301.3507960965588, 100.10015408320491), (300.5167920360169, 100.14389977908895), (304.4626622921399, 96.73550937999497), (314.66505023612564, 97.6394409052011), (320.8734834806297, 109.44087554246254), (200.3359104546504, 105.281098546042), (169.35082336382828, 97.28608022519352), (157.039240469122, 90.69853913759148), (154.1320688134098, 92.51539479488312), (144.5559668989547, 92.6062406669985), (144.63185768206688, 91.8712877081078), (142.18489492627424, 95.59331823986996), (152.63511255840294, 108.49132096842702), (182.7361604958408, 92.81060185940304), (199.6008598506245, 86.76573777694094), (181.387144817919, 93.366585871565), (189.7491582015223, 84.70999688746781), (234.8777602951549, 83.75956269328849), (294.8778069407991, 88.36797252195328), (294.1451532041641, 88.35952107110207), (315.3910820270887, 87.95163597625933)]"
3,"[(187.15311577657735, 143.25126691540902), (310.78359206613374, 142.03827790358224), (308.0751912449296, 173.17145346146518), (313.11258478183265, 270.0321553120795), (312.6567960747181, 304.551060227827), (321.6103331028124, 110.7144133241125), (322.324178411124, 98.19517247873442), (315.01612994190964, 94.89202526648243), (255.1210650316501, 132.9094779868858), (91.59841735526068, 317.4503001103545), (89.33415878959926, 326.7341225500559), (103.79184680190666, 309.2759671876732), (104.44582583258324, 304.3335677317732), (104.41533695234962, 306.00652519603005), (321.57871068578794, 142.56719405522497), (322.40813317074554, 97.63338343306016), (320.2203576095996, 96.93920042770584), (98.52923239312732, 94.66812291092477), (78.20355199083357, 138.2694070466915), (77.52385814819925, 221.31433696702084), (318.35686801125945, 323.7514138883868), (324.8632128214685, 275.3955327192375), (322.8363035943342, 163.49087088234492), (309.7422185332306, 87.84099128475722), (324.00275180336627, 276.2324338765696), (321.880269950527, 208.6359969885997), (297.35039884747755, 195.2434170157138), (273.1970629093074, 192.9612167947155), (176.81576488575556, 162.46615136328887), (106.29685123641076, 121.82352278488143), (302.9438975817923, 93.8524039829303), (317.3400619817405, 134.5367562889131), (311.50204817302966, 145.73682342017588), (317.0011770447564, 311.846783222806), (316.5908991647104, 314.7069935033029), (82.81413319498675, 241.48933730169568), (81.60545488511116, 237.20805422860343), (84.9808228342067, 140.72385438733414), (84.79252384051614, 109.68541837629814), (238.16734127770388, 105.6164057856152), (317.9604434072345, 212.53745624270712), (288.1251193127585, 263.666613638774), (272.22813280012883, 269.25977616146434), (110.60356874747356, 116.97207945949069), (106.35586838629914, 105.515524459805), (82.22433705219487, 149.92195997084713), (92.4407143664519, 164.77433028145134), (79.7602268012723, 194.1619416401604), (172.5664467202102, 88.71600035828382), (193.41841524800637, 104.50093320513544), (215.45527598096487, 112.4269227481264), (308.4550546065528, 97.06664799775972), (89.09338466726619, 150.8368648830935), (96.06298133581824, 140.8043138652123), (98.8605811481219, 131.29715095676826), (319.77682605682605, 107.37954261954262), (321.520158148394, 113.75158004098006), (320.8731023972803, 106.901529804818), (310.55941713424335, 105.00602964575832), (308.4943356781648, 105.6483882814928), (307.1439018772314, 105.98105493493031), (217.15219415492743, 105.73652119064069), (172.98642052010297, 96.69554155202508), (150.3709729618406, 90.8480390714643), (321.2484511063526, 120.6522198429693), (243.9182268722467, 89.33253793441018), (96.50641735228125, 90.33205684367988), (81.82264027189792, 111.9597221394073), (80.20525497951688, 214.39991524226585), (79.86003097741909, 256.8416075650118), (86.73068258922513, 291.3104356086308), (87.91146810187828, 283.5840604528528), (87.3106738703868, 262.8044781334839), (160.13881478117727, 104.47615939149684), (185.7112785358598, 90.76013710146802), (182.21555331561743, 93.56284553590518), (185.25973160461663, 86.6255793523371), (88.51676956449191, 213.3713777184493), (88.23730764910704, 209.4674828709424), (88.83273705685816, 208.95804381892907), (307.3971520687802, 305.63221386351427), (322.5272560942797, 232.40052736371956), (323.7061548276149, 154.60610767481208), (320.69386378961565, 171.1915846257586), (327.053074018665, 80.07957540785068), (133.4612707783129, 107.66009010408575), (82.29719746716698, 96.89736749530957), (169.55770816158287, 86.1014898127429), (226.14999297654165, 88.38713302430116), (228.75842696629212, 87.50731184009938), (294.90576865991625, 89.27372274811175), (293.17185338865835, 89.16245965882895), (146.93056866446435, 127.0466906559698), (98.07090588692094, 142.95681132582658), (81.77904605449498, 127.66999943352404), (87.98148970416828, 117.93303546650384), (104.19002593925194, 116.8409617047388), (320.75763384181244, 304.9008066448367), (288.5108991426983, 325.80644878134416), (86.96763508009775, 259.9923431984795), (82.19639278557115, 175.71985637942552), (299.75756800818334, 89.74075376402519), (292.0516282303859, 86.6992409317418), (254.30215978823247, 105.4645048730598), (191.06668830115203, 114.21054681161772), (88.24644119763477, 123.9366767825298), (183.6550423050537, 151.90635719185914), (305.2136258321847, 100.13666891515382), (229.0272654112345, 88.62639626589409), (228.9364697918429, 88.13931291250634), (169.8660674012501, 84.56214962304273), (232.48394720156784, 85.4733125828578), (79.26789012003694, 143.05964335180056), (77.34187698267876, 181.02958928721824), (263.77432034965227, 175.51436268176695), (105.11600550964188, 271.2249862258953), (101.69414221343004, 264.2483514671942), (94.0022260559853, 239.97693249485224), (184.6086816547728, 213.84023716263343), (156.22044666389235, 193.42374809266195), (105.45654968145747, 150.5549066726277), (205.3394107068751, 123.0120901922811), (151.5938925834253, 128.1056869352578), (114.76325973139085, 155.50637377646257), (102.13901529608644, 155.08144211855202), (83.82054241200231, 240.4179100376446), (83.66483969668751, 239.1199946787282), (83.39748773518788, 239.22222222222223), (125.54775114766102, 98.84155236995522), (215.03854483727463, 109.80320767970032)]"
4,"[(222.91020158827124, 87.77275503970678), (135.18212325455735, 97.66581349714188), (82.14871269018651, 267.46118670842225), (82.70403661176728, 271.2989778301499), (86.728761399249, 300.5850532200232), (85.73703196219346, 304.9765386873969)]"
7,"[(98.2108182317408, 320.1798736957716), (93.36954559133314, 305.3531037124176), (97.24153621147283, 308.48025567412384), (80.4176449365859, 261.5208003774318), (125.5749723756906, 281.3491712707182), (104.89576994534048, 322.87807964673254), (95.41647462350608, 313.0912160351573), (86.67927923016111, 291.3814300902325), (86.68439332055236, 288.0059737156511), (88.18670738081484, 215.88360705345107), (88.46152151159588, 213.8084889549937), (87.30261563876653, 210.97700991189427), (83.21053802926612, 258.7751905636232), (88.2706114714282, 329.90444924867217), (89.94112346049864, 323.87702012616404), (79.67955094500498, 138.99599261048743), (86.57485825655563, 197.71214268840063), (101.5459276083144, 264.7136244717247), (79.13074322451921, 206.9599567699385), (79.91403437542293, 315.56435241575315), (142.0579932016918, 332.14279042009395), (81.54211836283186, 233.68965707964605), (114.39749159767194, 328.9242287619204), (77.09828627575644, 165.7521602173222), (93.2971989023827, 302.54016898959435), (84.92269810895993, 141.8830200360198), (82.66563298590174, 166.20501335170988), (78.31842466353312, 268.0916999970805), (82.6764786268722, 271.31745380999234)]"
9,"[(320.2815284535068, 186.19895588476467), (306.3975787200182, 96.44651585767876), (313.08374884044525, 111.25579777365492), (323.8808279156163, 305.50563884834816), (320.0691517111853, 304.53247600166947), (319.7443061942115, 315.5200432783338), (325.17432686638404, 312.3571609063088), (99.89737040223704, 328.7116853086685), (284.90400340942386, 279.9587939163093), (313.9189801545055, 251.53307127453388), (321.32272963296987, 142.46795660135007), (118.79555444969728, 290.47233971966494), (158.53134304551256, 288.9285676307954), (304.76494098212146, 311.9410620553676), (305.0143366294182, 311.3052496181365), (304.806722028659, 312.2373929216986), (300.8268110130981, 308.91569099171346), (204.2345332799176, 132.6326332055171), (271.8944652493144, 93.67658420074898), (315.9930897230361, 194.96329260876777), (239.2523074111304, 272.32145359286), (182.0714901186869, 238.2768157433916), (157.05242646640497, 212.42498719918075), (294.33252604242654, 100.36418546292784), (91.80502862274103, 313.13823100235714), (107.43989482621676, 316.53964558626166), (114.34714293481215, 315.4071385853314), (194.60814649347785, 277.1194671961612), (277.7904522754846, 235.75081116158336), (305.4086677899622, 194.54862856669337), (316.37125380554704, 104.897941513281), (80.6546872823513, 153.0198356317036), (79.6714437519745, 314.8581808782561), (82.37828021173556, 312.46939407590946), (298.4238451105024, 305.72737427196085), (212.45659799732127, 86.48105746539957), (83.14527008500137, 252.7983822319715), (80.61635964171033, 182.1085009295251), (79.40417239155427, 108.79631550907102), (235.1468366651522, 88.45746251703771), (302.8367130623972, 88.50980446849461), (180.0304176709278, 99.03914330170548), (113.8782821539831, 91.75096954669718), (81.82327056058163, 205.35876130866157), (79.40020435051491, 312.70355731225294), (133.80547818013, 328.0540990769567), (277.6408996967013, 329.69498349303484), (305.7776507497607, 326.58821652664045), (312.8824092039461, 112.31202689038888), (320.0760228798226, 109.9618280511294), (315.7512343028872, 294.5090694429537), (317.7972673559823, 307.29871808398394), (313.5180337329172, 309.0549537024893), (277.6920578055741, 323.52568461958833), (278.2666516398061, 322.9602163867914), (139.93527282477544, 322.2930687759753), (106.02631507775524, 278.6308045977012), (123.50737535379926, 276.2473056825604), (293.81519654841804, 290.01099925428787), (301.7881773399015, 291.2382298312202), (311.0891276700667, 275.268602870565), (306.6228733459357, 274.5706784289015), (279.0979529825684, 257.0855855855856), (295.2151609214181, 127.95711485051464), (316.7667404215675, 98.52864795621288), (317.090888537192, 104.64981347501696), (295.23417952143814, 94.2435624924086), (266.394116954243, 115.53839585418996), (186.5565636603186, 216.1752904539466), (163.95015798873473, 233.60939689517792), (91.08918321059558, 315.0360372973427), (100.35499723909442, 314.6099668691331), (102.00625050955242, 315.10147566377697), (110.8030842547723, 322.88736580011243), (98.2242048099302, 269.0236216259597), (105.41667355656608, 271.9939644481191), (116.0291140995425, 213.21444613891583), (156.18797752474953, 247.6948003686417), (157.0580093572463, 268.11807953659354), (156.2978245163362, 282.1517219234166), (213.6963964689152, 261.4818481848185), (192.85435125292167, 221.02505843344025), (184.42582366279845, 214.4754968654128), (167.16345012286368, 202.3758800629504), (107.11770670374877, 149.40196419259516), (98.58137820906522, 146.73105269622897), (107.19482187117389, 148.26953743243646), (119.50390343834782, 119.48466308620785), (257.5548052375854, 105.59353811523786), (257.3556071408832, 105.39004034709556), (270.636562150056, 99.27396416573347), (309.5541854135422, 138.8266400044437), (310.0548191417659, 170.54462480341496), (300.7402597402597, 195.1710138600895), (293.30397593204344, 201.58748230297311), (289.7189992945135, 206.99617409236447), (294.7302699754568, 226.52645214071447), (283.4263928482467, 246.525919570452), (285.2350209261509, 249.0438774132577), (237.1663660955816, 324.6351160955816), (186.37921121917145, 314.31373918650263), (189.8764854546432, 267.0328009894069), (199.74981428419824, 222.78931868831583), (200.1628802679319, 111.52037398827798), (138.65869826650632, 137.28463320916316), (119.78328607921848, 155.2920585015299), (107.2268333142661, 155.73404072760553), (154.8720094410471, 299.78049565497264), (151.1166881905582, 315.6253694934711), (83.7025514048875, 239.47332866831735), (83.57504325259515, 239.238267733564), (84.02724254300021, 239.77917483126495), (101.03756022777048, 196.4022667542707), (131.9823361501286, 104.1415934205692), (135.40718948508533, 95.32481484734052), (105.98267539313532, 101.66591642728108), (77.57803484557077, 270.5451125692952), (86.99668967065028, 287.5283902822196), (84.67238724488368, 304.16800582323134), (86.67603884372177, 302.90221318879856), (86.91007972821173, 307.5108907093345), (149.5344851114932, 294.13870465897), (282.34384582848685, 239.06437030770857), (290.5903220705287, 203.57753940224552), (272.6531564656635, 169.36251272768413), (307.61446985935345, 125.26649440643628), (314.7032664528762, 97.70218804097964), (295.84597944377265, 91.8892684401451), (252.75009358173284, 100.75844395174062), (237.2877689360448, 130.23872679045093), (278.57708986772127, 228.418028092186), (296.7890024883696, 250.3956778102348), (292.0049975502205, 259.8392617997713), (252.45302144249516, 293.52157744789326), (168.44467875335488, 219.260721914882), (156.876828006599, 195.44515281156504), (93.94651398753444, 104.80063777359038), (97.86673969682614, 119.03105755566082), (99.30174052512773, 118.8311155993822), (95.9816213882636, 122.67017175984458), (96.64606376057256, 122.21578833224898), (97.7048789216271, 119.98013837528332), (100.42467460938632, 120.36524915210018), (125.77227667940411, 99.24630337265326), (125.62754831692556, 98.60758010988091), (165.33516318694504, 88.46754259659227), (181.33211613822587, 88.82810830067687), (278.80734509069566, 158.00561782050923), (298.9682823129252, 241.33574263038548), (286.50623327229187, 275.5402521481899), (289.023344488945, 270.54666154605803), (212.24786855626448, 220.8489921517701), (126.85490708478514, 155.8534262485482), (118.93857534246575, 120.11701369863012)]"
10,"[(323.4719899052147, 100.81339319775802), (213.61421675700456, 330.6694172531888), (322.50666884424845, 135.349175240895), (308.6788677144902, 324.2978875665933), (324.5189720454362, 265.3948548564677), (322.08159047697774, 265.3013970405886), (80.12916565312577, 323.74980018764984), (185.60476369697292, 322.7869509113393), (315.5281315900464, 326.9417404751863), (280.4925267708304, 137.84366965219112), (238.05886863179416, 97.87374339751236), (291.1781051793282, 90.07218635342302), (298.4368609334948, 90.20810681389256), (320.4486031316886, 279.981947730089), (318.61427449706224, 297.16998348360545), (319.8306821320077, 308.078956089478), (309.2066322184998, 301.34191698370336), (279.3710344827586, 323.4298275862069), (110.06901707484823, 321.55742950270627), (93.9906728847435, 91.95219060309), (100.46963665622089, 184.40148499477712), (92.81365374112508, 300.5659475696341), (97.76163629926192, 313.2355039899774), (89.18936752320154, 310.6061101872217), (85.04698369255331, 313.27001368457064), (181.6449895526233, 94.57784011220195), (97.54689096986272, 203.0667661114334), (88.39095781228528, 216.17378040401263), (88.94612566920259, 210.00822766976611), (89.16689902409878, 210.3818533587504), (89.71106652709932, 209.2815480344266), (88.76124306727755, 207.8181516759103), (88.57978033382341, 208.2706909971461), (87.7815434141107, 207.9555873498465), (90.265552407932, 209.82815864022663), (82.58245057969806, 316.8687685934329), (83.92108306303766, 315.5899308983218), (94.14806178956572, 143.02072282133489), (94.14616892525356, 262.9315605556976), (102.0952432874472, 329.2079869156331), (90.22219088801153, 325.45835683399133), (220.9290140687807, 90.4324196069674), (235.7974865971061, 93.02153110047848), (90.48191221541155, 312.15537434325745), (106.66549490699734, 317.482202170062), (83.26147849088125, 131.37357650006962), (81.43771022798056, 87.4900336364769), (81.20146218117854, 310.0040127528584), (80.2354705245328, 309.77585871768525), (82.66563298590174, 166.20501335170988), (84.58232496036051, 304.17416339814736), (86.728761399249, 300.5850532200232), (87.7614441229158, 305.1640898442883), (96.94764618957146, 124.20151391779004), (95.51749657377798, 124.22801888229024)]"
11,"[(98.37369904294204, 239.99344289740228), (98.18412865951892, 281.9138658963391), (90.12509407141066, 311.2580762048109), (115.3087816369015, 315.2077078996384), (79.16390705821178, 276.118120364542), (79.91403437542293, 315.56435241575315), (152.13219657319155, 329.6934604154041), (80.70375070882726, 260.16569006021655), (88.0726320955341, 297.6424287038552), (97.08652323486048, 266.0299240976356), (110.81587559161596, 319.609384719405), (93.9629739336493, 305.3661945282206), (85.22565280735179, 141.67163510030258), (82.66563298590174, 166.20501335170988), (78.99760962977719, 253.7285222389801), (82.4826738824309, 271.18477510561337), (84.29715108928939, 273.4761708758416)]"
12,"[(309.40420136587613, 112.16338645073913), (311.32189306358384, 126.89603712761227), (309.72595286195286, 281.0650235690236), (321.40604282780873, 132.92945145203873), (322.58121009606776, 97.57276687153173), (317.1464119211738, 96.977604896605), (321.5392016818047, 283.0827426353664), (324.9890811404142, 211.1861694445247), (321.57871068578794, 142.56719405522497), (319.2482990165493, 94.054045220905), (246.35417235168916, 228.29724935872943), (311.0495218306295, 322.8014598151256), (324.6517902370098, 276.7991681996321), (318.4181758939966, 184.162019061066), (321.9015877398868, 107.41134888858208), (324.44222073578595, 280.93332441471574), (320.5172442041452, 171.89953851615192), (307.496513612823, 85.79292885455546), (262.7906457505727, 131.46321802418302), (322.426800929512, 205.3753572477897), (302.63631959879183, 92.6244372257366), (315.50359215686274, 146.30233725490197), (316.5662698525442, 135.20669375230844), (296.24993014808604, 155.68298407376363), (318.7174304466516, 193.49817041296396), (303.3081000115221, 241.83869109344397), (305.226071184324, 87.95688501679997), (266.0866853360489, 316.0569246435845), (312.2114646602, 125.02021575559786), (320.5264855180651, 170.88429381905047), (195.22935700988117, 110.86512960045826), (251.50408813150872, 110.3707720113607), (300.7180235760714, 99.7899636443759), (313.64549771070034, 95.48510542083544), (312.80666647360346, 95.45046479974516), (298.967152794564, 265.208820132678), (321.73451422725924, 319.7521199558511), (320.0182815838764, 309.13129501147546), (320.0408935708425, 309.0131282919986), (321.8959624818069, 208.72014985715052), (319.37610632479635, 167.2587550354318), (314.3189367848017, 105.62743028552384), (280.6483118861713, 289.4534374404875), (322.1570864651489, 228.4306494349213), (259.68214745653574, 328.0202296630178), (262.5654287535862, 327.76572627776005), (321.92297336006874, 165.00945287883127), (320.7704275892295, 285.45174897964773), (321.03588864349643, 334.3243054748344), (320.43184742883614, 301.8494106140938), (322.7406661786237, 211.9878425015687), (324.25416586244614, 81.56321173518626), (298.3673220761559, 95.36341228467816), (305.12464654625194, 99.60075595822032), (304.3199331383201, 93.22069926173562), (305.9888203434993, 96.28438613259188), (321.1092212773053, 236.98135178700463), (300.7227740386041, 92.7134343404394), (317.6269848816202, 84.31327057779468), (291.2658099425093, 87.10785142599481), (304.9308480842483, 264.1787754873404), (305.87998474613204, 265.15074090215734), (307.60071692555647, 263.9056881651708), (319.8248874651349, 215.9139488000884), (262.0413731440338, 300.68787254795706), (304.4121951878156, 311.16145931786883), (302.88432215354686, 100.38615756282748), (301.69830377154875, 117.02628739035391), (303.8220914816042, 231.2521268368136), (320.975942854015, 195.6678800153265), (312.9865179232315, 317.387147086814), (313.53514707913274, 110.50794089214196), (319.39759002381953, 99.10738405492503), (321.22547023610565, 90.68759305964932), (315.0580842780259, 150.09246536127333), (280.57800010314065, 289.533159713269), (311.0940564286275, 275.31161258269486), (311.491965487216, 275.94313834138103), (309.3299957730107, 275.2576085807883), (308.54301565180106, 118.23946719554031), (223.88106067107185, 110.22503504104807), (262.73722382459187, 101.41681834728794), (247.93526820827435, 263.9085522521105), (269.58848841989857, 162.1444155132246), (195.64220954146512, 96.9904990875648), (283.4459118275393, 161.75398829176262), (307.70377470188595, 175.85459363459532)]"
13,"[(280.8448891660525, 104.29692726345031), (195.51888852494807, 213.66459220438912), (151.34970959663238, 279.3282623754463), (90.57376651388516, 317.7796980318145), (93.23816264224256, 318.53411046350266), (89.33415878959926, 326.7341225500559), (104.4639245324054, 306.03572205306654), (124.98190731561984, 314.94233633975244), (240.08961807423347, 319.9233996772458), (77.84646530612245, 330.5197387755102), (316.9188137491893, 128.70995224338188), (329.4041417672041, 339.5925508324877), (322.1302043906132, 334.60747786591185), (309.0743483491512, 317.278866461703), (226.03346654782783, 331.2302981512895), (133.52498168100524, 331.1242977718675), (106.43127449260103, 324.5718839562496), (98.39611442389602, 320.0985683273337), (80.33897620841856, 233.482856066315), (110.52222481403729, 333.451157245419), (98.71540949457297, 322.67944852538096), (79.80113587959676, 128.73996876331108), (105.25259091514586, 332.5610496869588), (106.14035315081809, 335.77119714887414), (109.58039172595666, 320.0508199873637), (104.50344227053796, 231.977686467659), (178.30895211282856, 330.22462846160096), (153.9296141254763, 325.52801481242955), (95.4290985622916, 262.33911878860766), (95.17065763659328, 262.38520250477035), (89.09659218504379, 193.60810128003592), (86.18257079415554, 160.53074371556238), (93.59243884771828, 299.9901654872681), (88.96683861459101, 308.4212451213188), (79.96993250719186, 232.8511009072804), (86.9855088165985, 266.9515425661584), (105.20905086103323, 320.349592844747), (86.75890322057273, 291.66474676185067), (88.19455011466343, 284.9300957776878), (98.01149201943096, 201.33893129770996), (96.75213006902504, 203.05303602243316), (88.28223353061563, 215.47331157696772), (88.32776791657422, 213.8193088528955), (88.93160300840584, 207.81648724376936), (87.21743884105507, 211.0680606806068), (84.91886645962732, 315.422471162378), (90.67363016730106, 141.8005370157269), (91.54019243651422, 96.91124170269777), (89.80935169248423, 113.95212277682155), (93.97193526170798, 176.18655303030303), (87.04058234242416, 327.01265715015467), (314.8801988313371, 312.36559054493534), (197.58337830545065, 334.83006220353906), (144.94338323868524, 310.3380083749211), (95.40570061675024, 328.93622110784486), (90.12016017430732, 322.0424285251597), (80.04805459591097, 138.12689018519566), (82.25883903501231, 175.500573033064), (90.23670730036982, 312.9019038487878), (91.5760581086744, 312.6669925967314), (79.13074322451921, 206.9599567699385), (80.20578441894384, 264.27835108285865), (79.30919181214792, 218.84145797311615), (151.3055782091013, 317.39036590007066), (100.79149776530508, 323.43163392578737), (83.50887833795318, 261.69119301808604), (95.22987303524216, 92.24280194078852), (77.09828627575644, 165.7521602173222), (80.88404432974039, 230.85204190071352), (82.5071994139029, 132.46932852433147), (83.55044977302475, 131.41710529980227), (82.74045915324984, 88.7288610614192), (81.8306442184029, 128.74763240968082), (79.6249127996205, 213.8288361190948), (80.90395449174201, 287.26859765313696), (188.89561335507497, 214.28383544066932), (124.04732425771624, 280.63258420373194), (105.45040781671908, 304.8826657016396), (91.54290334073282, 313.2516922908273), (109.01549001265614, 277.28195674902327), (101.46104297929791, 263.99921242124213), (96.10683157632606, 243.42082399490883), (157.18077863900268, 255.74244790899175), (163.7010503635874, 290.0155938594129), (176.62496028804406, 299.8467647993223), (205.99725848918325, 239.64648082299607), (144.41874421604643, 319.02366863905326), (93.9629739336493, 305.3661945282206), (82.72866691822543, 247.78537545145812), (84.92269810895993, 141.8830200360198), (85.61099664116966, 146.59773067261284), (82.2279037482647, 183.7017873669597), (82.4826738824309, 271.18477510561337), (85.25416319134861, 279.94805717737063), (86.6982816575685, 304.398338128916)]"
