5,"[(150.3709729618406, 90.8480390714643), (155.8559111111111, 90.59674074074074), (154.0077837900402, 91.59761567174976), (145.6676461358514, 97.16318146806265), (139.0658106880075, 109.29015331398588), (99.20286026598652, 86.22596708568652), (84.29715108928939, 273.4761708758416)]"
6,"[(88.81439371031146, 329.4307831871787), (86.78784439820944, 332.1714582939285), (99.78848819120353, 93.02712487625512), (89.79363845624944, 89.17000986517593), (77.66936919750731, 82.83326974437237), (91.06935136988436, 88.92909017236542), (79.8991428906892, 105.90806622050016), (88.9466931963294, 93.24230095328602), (93.68344301742384, 92.34209839677617), (79.25228905479645, 188.2687420763488), (82.43209041731066, 231.95788253477588), (83.58053461274845, 217.51610692254968), (86.66523082154902, 91.0671352055998)]"
8,"[(78.26421462075277, 138.17824047591807), (83.99864899096512, 107.46601367896648), (100.6706464419032, 94.28384784025596), (92.36980252331324, 247.12605595172792), (88.87163360301452, 202.2752964645905), (89.09338466726619, 150.8368648830935), (101.71586884496745, 106.02804752656232), (89.08758885286858, 89.25717514796419), (80.52859406711335, 124.84300369762852), (78.42857543623408, 95.35538349323907), (87.66060710490795, 101.87214611872146), (91.7935617075724, 96.45859020588576), (101.16637951520912, 89.02126901140684), (80.80781768032764, 106.61270999916418), (88.48317314589012, 100.49539520872185), (239.27311196998332, 87.47535757609953), (304.0190488531813, 89.41878320590904), (267.3938007824255, 87.09524526030695), (96.26582238101314, 90.33823529411764), (79.50136878051534, 177.04089408178817), (80.88404432974039, 230.85204190071352), (86.7780932036652, 128.381865197594), (94.63115427083038, 106.78553834829138), (84.02724254300021, 239.77917483126495), (97.74336783754735, 109.1566830703094), (100.90749830737984, 110.18793726021214)]"
14,"[(319.0104395455408, 278.9595162558638), (311.4569520174482, 239.30558887677208), (311.16945956712254, 276.022892046209), (311.2544387914028, 275.7405253867719), (311.1397397031152, 275.384591260715), (311.0996087170584, 275.211163224586), (311.25300010435143, 275.57179380152354), (310.2651373488899, 275.5386762885512), (301.7064353259505, 193.5808809171804), (136.47736505323527, 298.1150731487136), (282.6567080943276, 231.25740917782028)]"
27,"[(87.5356154272006, 86.53250907301471), (95.7773313663329, 90.115508961361), (86.76423468930268, 91.36599216905282), (85.8158533376217, 107.95473816555072), (102.70516434740884, 86.8040127159309), (93.68344301742384, 92.34209839677617), (83.67378673957622, 232.00075187969924), (88.07745664739885, 223.2217726396917), (86.66523082154902, 91.0671352055998), (83.95971455582324, 90.1185691195755), (90.63336605647628, 92.33617254720797), (105.5732743117997, 305.0214414165168), (87.86291812591347, 225.12787138405537)]"
29,"[(311.2101251582056, 126.09641400646883), (308.3804969217238, 160.51756266490764), (96.35129051157914, 325.26608899441857), (319.49732100800753, 100.08578662270372), (78.20355199083357, 138.2694070466915), (78.23947197698361, 172.72665218740303), (80.26838549565697, 238.40595615607336), (90.61234122897356, 97.13076438951823), (86.23277509272789, 109.1668539957289), (294.6339193381593, 91.90931288061589), (97.47419727928624, 168.5772704741973), (115.22640122331352, 96.31353290595776), (193.2738001802273, 106.51388041045318), (313.64549771070034, 95.48510542083544), (90.20409287465228, 210.96177045748755), (90.47246951219512, 88.83679878048781), (157.53221930047783, 102.16111063986202), (147.26309324065195, 90.52702540747843), (81.87196283257344, 119.09493853523402), (83.45031752983685, 152.2538322566517), (78.75007424606495, 96.32047301493022), (79.74031425492088, 102.11066991888366), (182.02264479605168, 91.10355639425173), (179.6852151020164, 99.33001256506913), (90.08469978297563, 206.7442729684109), (90.70908237778234, 203.39637526027155), (197.35854143019296, 88.54046538024971), (83.29770924588611, 97.02486089736), (91.4242018177581, 100.25763225355396), (101.69327817386969, 91.30827685356336), (92.40864965774736, 88.77433105164904), (80.04805459591097, 138.12689018519566), (85.8158533376217, 107.95473816555072), (103.19175444227234, 93.1321740145304), (163.48573303747227, 87.81998312341781), (99.69921664773068, 86.58796268612092), (88.48317314589012, 100.49539520872185), (171.72367522636188, 87.39860472020187), (304.0190488531813, 89.41878320590904), (97.19541295377071, 90.69753603253392), (81.82327056058163, 205.35876130866157), (84.67365378679462, 130.2904565479698), (82.74045915324984, 88.7288610614192), (103.4946215583547, 270.9023798907591), (83.73134847390526, 239.32774255677717), (83.61333297082733, 239.7006606671923), (82.18741823242867, 268.99755045233127), (84.29715108928939, 273.4761708758416), (86.8387629443045, 300.34844668345926), (95.0888625592417, 107.3782799676338), (100.90749830737984, 110.18793726021214), (120.93568761755046, 117.5834432810263), (138.57627310876717, 99.55134966541908), (197.20451372068504, 90.61214487219674)]"
30,"[(145.32378408771436, 185.34124262018557), (213.56064981949456, 117.68283810052765), (313.4946402616279, 97.26214268410853), (92.85358789787423, 102.94106399730065), (87.91729128973896, 106.45955027138795), (93.79320385522524, 116.23306059458989), (86.95336990595611, 95.81459488787075), (232.84790622659983, 90.3100339842175), (81.52725869136985, 229.73622424532823), (84.9808228342067, 140.72385438733414), (84.79252384051614, 109.68541837629814), (86.08525281678415, 109.03543875228952), (131.28987747623955, 93.66231535554792), (172.0880391414509, 92.66284183242568), (211.7994919461925, 93.0019052017782), (303.7755016017535, 86.19979767324229), (294.6339193381593, 91.90931288061589), (206.73822064464417, 86.48153661189671), (120.72296052818, 87.5396276671106), (91.66052528420228, 123.80749845998768), (81.65390415549598, 132.70218945487042), (82.78805004920568, 108.5575144102348), (80.70998455273136, 107.58890605252073), (93.07774845076888, 98.74942621069545), (174.67262505405796, 120.14775839700158), (193.2738001802273, 106.51388041045318), (313.0841849697928, 95.57726836429336), (310.39330616491804, 93.12679557212635), (85.57582357745711, 162.3864688265723), (95.25588782999232, 143.30931646401578), (96.06298133581824, 140.8043138652123), (90.44990580578866, 87.62171033852829), (112.16299559471364, 88.95653450807636), (170.2650233793223, 97.20721006754026), (156.7580135306804, 90.63715323938668), (145.63769002271536, 93.52411322732831), (143.57083828775268, 94.9634661117717), (142.50539264268642, 95.23718882994228), (129.22968782303082, 96.3500989397206), (153.40908449312593, 108.85467069418176), (157.53221930047783, 102.16111063986202), (148.32107177917652, 94.63619564589708), (128.88111787269634, 88.43817956334901), (126.0493342437692, 88.5707010356208), (91.4626581676339, 93.04886943836615), (80.95389902489453, 103.1290268503255), (87.9398543481365, 120.01299443095816), (124.97846790890269, 124.20977225672878), (182.5981405283161, 94.24462103841442), (183.2777206033697, 86.36358022876297), (89.48198923914035, 205.5437881873727), (329.3089841075354, 85.82896680961476), (198.11569393382356, 88.50180951286765), (194.21278337709268, 89.21029897518422), (102.86314704187768, 110.5871061649028), (87.09406246489158, 100.60130884170316), (287.0272409453223, 91.40883792476576), (297.4026594449854, 89.03879625121714), (96.89130173243504, 144.35108878729548), (97.8235681369322, 143.5440780417739), (101.69327817386969, 91.30827685356336), (85.29783360079003, 83.29394519195161), (86.50618933119601, 90.83492148306468), (90.82188941437497, 97.97868862030712), (89.80935169248423, 113.95212277682155), (90.84447874280905, 115.91853514802862), (170.9745362164717, 87.32340777502068), (316.1649522865287, 87.06704672202255), (86.08415740497652, 107.951109944284), (175.55322274062553, 86.49323195668453), (219.582797290374, 90.65142027665507), (110.66522711738024, 123.00823339340086), (108.468952324897, 126.8175397292525), (228.81879552876163, 88.47048480281336), (229.90285317092545, 87.30282669138091), (193.28630237036052, 84.36916539406414), (99.20286026598652, 86.22596708568652), (150.40934939196873, 85.80793794290047), (231.1337666984733, 88.90004770992367), (306.4420441104849, 90.01203645724623), (180.0304176709278, 99.03914330170548), (97.7654536232803, 90.32333734863374), (84.7105219825457, 130.61724024370162), (323.12329611839544, 86.42976762300403), (287.98782812329813, 137.66112079294194), (311.87578757875787, 106.31829432943294), (105.16470981024985, 151.11435089867007), (104.6703339230429, 145.3421329057939), (96.86758695849603, 146.70811007174643), (203.01536042234144, 117.68476032686527), (151.5938925834253, 128.1056869352578), (106.77866023990798, 168.8229172372241), (132.20877674470708, 103.72221911056346), (135.40718948508533, 95.32481484734052), (87.01282411045011, 300.1622235941183), (95.0888625592417, 107.3782799676338), (98.46070105443148, 110.35383300085496), (100.95649357963504, 109.00143613426448), (97.14106300513777, 121.28461977586156), (125.77227667940411, 99.24630337265326), (141.83003131310176, 90.70425214363055), (121.8295460952918, 116.35308711587255), (138.15977643974531, 99.27743366656104), (165.7766048166554, 92.39027259093716)]"
34,"[(103.36636463323136, 111.09035032030934), (144.28097019154484, 112.00045336053496), (158.4304940232383, 102.76655799827245), (125.051728071176, 88.60716322573286), (299.4342899699444, 293.9870734367104), (311.2505713692084, 275.71753584043216), (105.5732743117997, 305.0214414165168), (105.43265362741018, 146.9220418920793), (107.14236691334447, 151.33274647887325), (106.92004628757502, 131.63093732339405), (83.51740460045207, 238.98061428001597), (96.59559107519534, 111.15977895956505), (100.92589780365029, 108.86973761916816), (97.36691612749335, 119.25057395867498), (99.47553926826362, 118.78634846859732), (98.214543469691, 120.91136246474817)]"
37,"[(297.90476899779054, 331.6515975273702), (298.0474569596039, 331.8693878699224), (300.02442670720893, 331.8374255669581), (267.9768172888016, 316.44340537000653), (297.4632684064891, 265.2699256687103), (320.8287091929492, 302.76354965351885), (304.76494098212146, 311.9410620553676), (305.94413016540057, 310.7922256343947), (305.07651883111714, 311.7753536640391), (303.69775058874484, 310.66927428741576), (302.7673957300204, 314.2795322858485), (304.806722028659, 312.2373929216986), (228.94974230929287, 89.13460738179839), (311.0237007120842, 275.72151663301094), (311.2414603862309, 275.9686682693578)]"
46,"[(199.27435665782647, 88.34371812432606), (135.72844343204252, 85.86709187547456), (120.94573533978938, 87.37344363194896), (103.36636463323136, 111.09035032030934), (82.3018243069632, 108.51189082707626), (87.79729729729729, 102.51484224810584), (191.8760496155093, 108.34668984414132), (311.4149133937266, 92.84549558853904), (96.54647608031068, 141.59701451430774), (96.1195406061598, 140.5563739531331), (170.24412416213573, 97.1296855671586), (148.7574055752779, 91.62014782052027), (156.7580135306804, 90.63715323938668), (144.69709628417854, 92.23007712082264), (147.92933551291978, 91.50873268519317), (138.8260803082663, 89.57359552279887), (126.0493342437692, 88.5707010356208), (114.71330522298484, 87.73623464959527), (124.44302554027504, 124.2744877911872), (181.85228875496855, 91.36908578022825), (329.19407592824365, 86.56675010429704), (200.234592941617, 87.36446469248291), (96.45673701533045, 108.66417414903138), (294.90576865991625, 89.27372274811175), (222.9896197707818, 89.35289935443505), (146.93056866446435, 127.0466906559698), (98.6352689558186, 143.19890425407243), (101.69327817386969, 91.30827685356336), (99.22921319634996, 92.87393912322123), (96.98676732303808, 117.09874275216715), (112.01100718603855, 98.1461161172579), (170.90739199081384, 88.31026266685805), (94.3741946923577, 142.95200661977657), (136.01606901774835, 86.61757054891501), (193.28630237036052, 84.36916539406414), (103.01152800774784, 84.10971914149145), (121.46472128026652, 87.9327443631388), (294.9885549872123, 87.49619565217391), (250.67352420887116, 86.32129987551595), (232.82829497309055, 85.78564067330814), (208.83257379441807, 95.03109641676348), (95.31800440667296, 90.52335536669814), (84.53513024899334, 131.04306023502343), (314.34841484322783, 100.52538284950457), (105.03842028547068, 150.05885426693436), (96.00820822653483, 147.5446112535091), (104.53878206030576, 137.26005799712829), (200.312052225388, 110.03800724737904), (151.5938925834253, 128.1056869352578), (114.76325973139085, 155.50637377646257), (108.20878051493077, 161.70294166713006), (132.7572599498634, 101.69796918570262), (111.57839721254356, 87.09994192799071), (100.33804608667997, 117.6628502038338), (98.9276019381712, 112.10308577257658), (97.43222809254874, 120.03755996842168), (123.49502954271792, 97.8349248130828), (125.2479422423238, 98.91915049020984), (132.33238377727525, 95.92367331355908), (161.12038857407194, 184.06250722794036), (121.08642372563216, 131.49521357895583), (118.93857534246575, 120.11701369863012)]"
